income,age,employment_length,debt_to_income,credit_score,num_credit_lines,num_late_payments,loan_amount,loan_status
inf,485.56429350148534,5,0.2587301953473467,522,10,2,5073.069529545043,0
inf,546.890626636449,0,0.1831068519501924,850,7,5,6084.382345408567,0
inf,401.93328712826764,0,0.5343574781492916,701,3,0,7249.086479753922,0
inf,427.92353424644136,1,0.08926437519946012,850,13,6,5564.358482790163,0
inf,677.1521253695913,8,0.08213580093552653,533,0,2,5176.617390125171,0
inf,468.7332230486742,8,0.7037449764618265,806,1,3,8730.341458434978,1
inf,521.7493496208517,0,0.3399348212555835,682,1,1,5851.42173006163,0
inf,490.4093287504762,12,0.8937068430862842,850,0,3,12457.909814555413,0
inf,562.5662428162868,2,0.07015682238932924,601,6,3,5181.112913269004,0
inf,582.3485279919489,1,0.2563199337817381,762,1,2,5437.944438492991,0
inf,514.0974170427144,0,0.10229147724788057,617,9,3,5348.602410041665,0
inf,452.8529403426913,13,0.3273566355057059,486,1,2,6406.327867182177,0
inf,658.73064833008,11,0.15882847517334214,722,8,7,5870.7468092268955,0
inf,420.4146789645989,10,0.24739631480787536,681,8,2,7561.079262009955,1
inf,362.23752028466697,1,0.2851895336214976,583,7,0,6292.075745362704,1
inf,617.5679989249836,8,0.4154912894755617,504,5,2,7663.104955311586,0
inf,555.0755158726615,0,0.5545819964301639,632,4,3,6937.848919275868,0
inf,643.4224929146933,2,0.8906138578947762,620,11,3,34358.53508392059,0
inf,443.94510853408264,5,0.5560220114639989,346,5,7,6649.865185880452,0
inf,508.4416686490315,5,0.0040976332774953494,629,6,0,5204.357725296178,1
inf,472.3401986401985,5,0.11359805493977235,698,8,3,5828.0171356574965,0
inf,610.7183738864401,4,0.228083656417322,638,0,1,5627.878275570146,0
inf,736.2171856013488,5,0.03018336294731666,711,0,1,5320.589148278181,1
inf,823.4115845594863,0,0.20770065118064535,451,3,2,5200.068240606902,0
inf,489.4722527863389,7,1.211435705870095,850,7,2,105369.28032225113,0
inf,940.1748917841314,0,0.04868166500992804,483,9,1,5807.865826223771,0
inf,504.470582507289,2,0.638099164593888,522,6,6,6920.365116335677,0
inf,315.27745380461363,5,0.2976089769124119,568,17,1,5054.999463830483,1
inf,214.6089478344266,7,1.150222031584778,850,2,2,20175.45380056,0
inf,588.293783842516,5,0.5375913911564005,598,4,1,10452.847141276714,0
inf,378.0870120190731,5,0.2227598500863969,404,5,2,5887.396804784305,0
inf,439.05446314424603,7,0.6684614186688236,835,2,0,9854.00742686299,0
inf,486.9650979879365,8,0.7472120255272445,850,0,1,9639.676778153666,0
inf,889.6744507589433,0,0.49019376770171535,671,11,2,44140.00491447981,0
inf,534.5782979387834,1,0.3614257861429395,463,1,0,24768.178776575318,0
inf,519.226811169356,0,0.6041083111643475,850,1,2,9989.463295347869,0
inf,538.0266104485031,2,0.21477860377611202,479,1,0,7672.8524996315755,0
inf,418.10808821134543,4,0.7468630525672033,850,3,2,10726.25346200586,0
inf,646.9153094011265,9,0.2456095268901946,475,5,4,5400.189497167676,0
inf,622.0469480292822,0,0.015550909914419764,755,4,2,5212.858743361386,1
inf,686.5061956635793,5,0.6178752924441829,715,8,1,12452.683099147178,0
inf,672.4514591242029,6,0.0841332075354625,505,2,0,5299.581640330885,0
inf,403.0651579355583,1,0.6925400232207133,850,3,0,8150.569003541004,0
inf,446.54384608741714,0,0.7931891515526277,850,1,1,10435.410049728123,0
inf,262.2126864289561,7,1.0117110496806776,664,2,6,8004.969240175997,1
inf,667.3509331139375,0,0.3912618323799095,662,2,1,12168.198457661678,0
inf,353.1605914894206,2,0.642929988458808,543,2,7,5591.312904495829,0
inf,467.48302495051826,3,0.12713792729142745,564,7,2,7761.586203794564,0
inf,533.959688299758,1,0.9021526673336069,763,6,2,29448.17972609023,0
inf,536.4261686616451,3,0.25994887891619156,575,1,3,5196.58573148004,0
inf,439.3546419839549,3,0.34260115636672434,640,2,2,5614.569296425906,0
inf,495.223389638016,1,0.12391934284164347,385,2,0,6120.540879021064,0
inf,469.0235909262776,4,0.19284156888690246,461,3,1,6042.95774782879,0
inf,678.7267727258837,0,0.05978211462237143,483,0,1,5502.973465158762,1
inf,611.4016671892333,5,0.4631492002778796,455,9,5,5087.985830845363,0
inf,740.1420926392119,0,0.5390212912370084,520,11,2,14514.302636737222,0
inf,307.4563886532871,2,0.8477570120820388,850,7,2,20053.251513707222,0
inf,727.3022822117014,1,0.5272370960728481,586,7,0,40579.58803623357,0
inf,448.9930194433215,0,0.30314856076130137,541,1,3,5504.845111778983,0
inf,694.7902622231414,3,0.253174222828598,570,6,5,5740.177046577317,0
inf,740.875505549858,6,0.2935468170189662,636,5,0,8412.75520362496,0
inf,465.150240184338,2,0.05006410748632886,683,10,4,5952.16737043153,0
inf,314.7495309083853,8,0.7332835321889863,720,1,4,5903.149931368994,1
inf,563.5062872987669,0,0.3190680839055376,494,0,0,9110.811708947005,0
inf,247.58839043027672,13,0.07318165783588226,739,15,1,5110.868755494123,1
inf,526.0049828485818,1,0.16548721347860257,741,5,2,5721.621287234265,1
inf,647.8390818863455,1,0.17953265785429567,499,0,1,9048.39871348191,0
inf,728.3871202425455,9,0.09200271025356799,715,0,1,5183.778758933468,1
inf,487.31673335873404,2,0.0022214071631221355,410,6,1,6098.781243377375,0
inf,580.3553492997055,2,0.63507973045216,640,6,3,8832.981450533189,0
inf,451.7773502036074,5,0.6964849192208764,823,0,1,6526.588183688544,1
inf,266.2751398830865,0,0.7514601990902944,728,2,5,5603.696751092005,1
inf,587.999318534375,0,0.7682928200173669,715,7,2,9693.0063133451,0
inf,497.8066619801155,4,0.6163838958518233,338,6,5,15978.33049889316,0
inf,518.4858481215681,2,0.48764322680040023,425,3,3,12498.37449657514,0
